Año,Mes,media,minima,maxima,precipitacion,viento,presion
2009,October,17.17096774193548,13.273333333333333,23.010526315789473,9.008333333333333,15.917241379310346,
2009,November,20.93448275862069,17.053571428571427,24.81764705882353,7.956521739130435,17.837931034482757,
2009,December,22.190322580645162,18.910344827586208,26.257142857142856,7.06923076923077,17.925925925925927,
2010,January,25.509999999999998,21.103448275862068,29.460869565217394,11.85,15.12758620689655,
2010,February,24.064285714285713,20.517857142857142,27.842857142857145,17.475,16.764,
2010,March,22.623333333333335,18.900000000000002,26.537499999999998,3.085714285714286,14.503333333333334,
2010,April,17.863333333333333,14.036666666666667,22.196428571428573,10.85,12.755172413793103,
2010,May,15.848387096774195,12.846428571428572,20.158823529411762,20.23333333333333,13.636363636363637,
2010,June,12.770000000000001,9.396666666666667,16.584,4.0,15.063333333333334,
2010,July,10.948387096774193,7.9206896551724135,14.746153846153845,5.885714285714286,15.109677419354838,
2010,August,11.783870967741937,8.572413793103449,15.78888888888889,1.3,13.274193548387096,
2010,September,14.76,11.713333333333333,18.756,9.02,19.09333333333333,
2010,October,16.845161290322583,13.193333333333333,20.995833333333334,3.755555555555555,16.438709677419357,
2010,November,19.841666666666665,15.917391304347827,24.923076923076923,4.483333333333333,18.45,
2010,December,24.173333333333336,19.9,29.51904761904762,8.549999999999999,17.114814814814814,
2011,January,24.94333333333333,21.25172413793103,29.535999999999998,8.61111111111111,18.39,
2011,February,23.5,19.96666666666667,27.88,9.89090909090909,18.742307692307694,
2011,March,21.916129032258063,18.496774193548386,26.26923076923077,3.5500000000000003,14.680645161290323,
2011,April,18.976666666666667,15.448275862068966,23.46153846153846,13.107692307692307,12.91,
2011,May,14.873333333333333,11.817241379310344,18.456,4.377777777777777,13.668965517241379,
2011,June,12.01,8.942857142857143,16.069565217391304,7.654545454545455,14.738461538461538,
2011,July,10.899999999999999,7.525806451612904,15.175862068965518,2.716666666666667,13.83548387096774,
2011,August,11.458064516129031,8.243333333333334,14.655555555555555,1.411111111111111,16.080645161290324,
2011,September,15.610000000000001,11.053333333333335,20.624000000000002,3.475,16.21034482758621,
2011,October,17.125806451612902,13.629999999999999,21.891666666666666,2.4,17.886666666666667,
2011,November,22.12,18.400000000000002,26.195652173913043,3.4375,17.02413793103448,
2011,December,22.174193548387095,18.803703703703704,26.44545454545454,2.45,19.2,
2012,January,25.01290322580645,21.586206896551722,30.609523809523807,17.322222222222223,17.638709677419353,
2012,February,24.613793103448273,20.478571428571428,29.189999999999998,20.516666666666666,14.910714285714286,
2012,March,21.476666666666667,17.99642857142857,26.076923076923077,11.86,15.058620689655172,
2012,April,17.996666666666666,14.778571428571428,22.323076923076922,5.466666666666667,11.91,
2012,May,16.519354838709678,14.241379310344827,19.9875,6.433333333333333,12.95,
2012,June,11.83,8.058620689655172,15.952,0.25,14.02,
2012,July,9.819354838709677,6.090322580645162,14.175862068965518,0.125,13.503225806451612,
2012,August,13.474193548387097,10.396296296296295,16.591666666666665,8.858823529411765,15.23225806451613,
2012,September,15.19,12.053846153846154,20.016,6.609999999999999,18.983333333333334,
2012,October,18.080645161290324,15.077419354838709,21.665384615384614,13.705263157894736,18.425806451612903,
2012,November,22.026666666666664,18.393103448275863,27.344,4.333333333333333,17.92142857142857,
2012,December,24.37741935483871,19.896551724137932,29.37037037037037,17.514285714285712,16.153333333333332,
2013,January,24.62258064516129,20.696551724137933,28.86296296296296,5.954545454545454,17.116129032258065,
2013,February,23.792857142857144,20.032142857142855,27.873076923076926,10.5,17.032142857142855,
2013,March,20.183870967741935,16.612903225806452,24.276666666666664,6.758333333333333,15.135483870967741,
2013,April,19.426666666666666,15.556666666666667,23.522222222222222,11.23,12.55,
2013,May,15.096774193548388,11.32258064516129,19.17142857142857,1.4090909090909092,12.390322580645162,
2013,June,12.866666666666667,8.92,17.40869565217391,1.1833333333333333,12.706666666666667,
2013,July,11.561290322580644,7.82258064516129,15.603703703703705,7.3625,14.117241379310345,
2013,August,11.974193548387097,7.803225806451613,17.107407407407408,2.18,16.317857142857143,
2013,September,13.713333333333333,10.414285714285715,18.375,23.516666666666666,18.2,
2013,October,17.858064516129033,14.427586206896551,21.8,1.875,17.280645161290323,
2013,November,20.7,17.076666666666664,24.92222222222222,14.74,20.4,
2013,December,26.1,22.464285714285715,31.292307692307695,0.42857142857142855,16.548387096774192,
2014,January,25.29032258064516,21.04516129032258,29.269565217391307,9.108333333333333,17.16774193548387,
2014,February,22.839285714285715,19.720833333333335,26.538095238095234,18.884615384615383,17.25925925925926,
2014,March,20.687096774193545,17.259999999999998,24.696428571428573,2.34,16.467741935483872,
2014,April,18.423333333333336,15.413333333333332,21.951724137931034,6.04,15.927586206896551,
2014,May,15.254838709677419,12.59032258064516,18.283333333333335,8.52,13.535483870967743,
2014,June,12.616666666666667,9.35,16.2,12.7,13.286666666666667,
