Año,Mes,media,minima,maxima,precipitacion,wspd,presion
2016,December,23.49677419,16.15925926,30.83181818,3.238461538,21.06,1009.3
2016,February,23.27586207,18.79583333,29.72307692,9.608333333,16.22222222,1009.9
2016,January,23.13225806,17.91111111,28.77857143,6.594117647,14.50384615,1010.8
2016,July,8.487096774,3.0,15.63076923,0.5,17.70967742,1019.3
2016,June,8.737931034,2.585185185,16.13913043,2.6375,10.81538462,1022.9
2016,March,19.21612903,13.82962963,26.31176471,3.026666667,14.45,1016.5
2016,May,11.3483871,7.443333333,16.71818182,1.194117647,10.96451613,1021.3
2016,November,19.96333333,13.49259259,27.61666667,2.6125,19.69,1013.4
2016,October,16.25483871,10.596,24.03913043,2.557142857,23.79666667,1014.7
2016,September,14.76333333,7.403333333,23.47272727,0.25,20.14666667,1019.8
2017,April,15.95333333,10.95357143,22.905,4.325,18.03666667,1016.1
2017,August,12.37419355,6.2,20.96,0.0,20.13571429,1015.5
2017,December,23.02258065,17.14814815,30.35789474,7.344444444,20.37,1010.3
2017,February,22.36785714,17.40909091,31.34166667,4.433333333,12.41304348,1011.0
2017,January,24.03214286,18.01851852,30.56666667,7.227272727,17.4125,1010.3
2017,July,10.12580645,4.95,18.05,0.564285714,18.29354839,1019.4
2017,June,10.45666667,3.734615385,17.25882353,2.042857143,15.74333333,1015.8
2017,March,20.30322581,15.12413793,28.272,4.95,16.83870968,1013.7
2017,May,13.13870968,8.523333333,19.62,0.618181818,18.58333333,1016.3
2017,November,20.31333333,12.91153846,27.75,4.95,21.08275862,1011.2
2017,October,16.84193548,9.932142857,24.30952381,2.3,22.6,1012.8
2017,September,13.24137931,6.751851852,21.325,0.8125,22.8,1017.7
2018,April,18.92,14.13076923,26.83,5.166666667,18.13333333,1014.1
2018,August,11.27096774,3.72,19.66923077,3.0,21.89677419,1019.8
2018,December,22.42903226,15.97586207,30.33703704,5.936363636,20.82258065,1011.2
2018,February,23.575,17.16086957,32.56153846,0.733333333,18.47407407,1012.6
2018,January,23.26774194,17.21666667,29.82105263,3.044444444,16.64193548,1010.8
2018,July,7.683333333,2.507407407,14.65833333,0.2,17.68,1021.7
2018,June,8.676666667,1.946428571,17.02083333,1.366666667,15.79666667,1020.1
2018,March,20.72258065,13.12222222,29.38095238,1.5,18.92903226,1011.9
2018,May,14.01290323,9.47037037,19.88571429,2.822222222,15.46774194,1016.8
2018,November,20.32,14.1137931,27.55,10.575,22.64482759,1011.2
2018,October,16.99354839,11.29285714,24.99130435,12.15,21.17096774,1015.1
2018,September,16.77666667,10.36666667,25.095,4.1,20.39,1013.7
2019,April,17.19,12.12068966,23.8037037,3.94,14.52333333,1015.8
2019,August,11.33225806,4.896774194,20.05,0.0,19.24516129,1021.1
2019,December,23.47741935,16.79655172,30.4826087,12.44444444,18.35806452,1010.5
2019,February,21.97857143,16.05769231,27.64761905,0.125,17.16785714,1012.6
